Chrm Bin Count Mean STDev SEM
FST_C_M chrZ 0 1 0.216131670966 0.0 nan
FST_C_M chrZ 4 2 -0.00655225114691 0.0109867551941 0.0109867551941
FST_C_M chrZ 5 40 -0.26546691903 0.109420685603 0.0175213323737
FST_C_M chrZ 6 5 0.00708057877962 0.0782898116728 0.0391449058364
FST_C_M chr13 0 3 1.97633975121 0.0169353157143 0.0119750765831
FST_C_M chr13 4 24 0.0228919262639 0.0982681865652 0.0204903333421
FST_C_M chr13 5 36 -0.0553150778082 0.0784806349428 0.0132656485071
FST_C_M chr13 6 58 -0.0875929435379 0.0673265424494 0.00891761839635
FST_C_M chr13 7 13 -0.14445086958 0.328502653368 0.0948305476759
FST_C_M chr12 0 3 1.54670811401 0.390808768032 0.276343530022
FST_C_M chr12 4 2 -0.0132657489309 0.0938579620025 0.0938579620025
FST_C_M chr12 5 20 0.0378414407167 0.0520233838469 0.0119349827837
FST_C_M chr12 6 100 -0.0904965547513 0.106709780138 0.0107247364296
FST_C_M chr12 7 83 0.272409899682 0.560452274693 0.0618915999864
FST_C_M chr11 4 1 0.0981670619584 0.0 nan
FST_C_M chr11 5 13 0.040648153878 0.0716357472688 0.0206794589846
FST_C_M chr11 6 40 0.0198791468027 0.0216084037087 0.00346011379254
FST_C_M chr10 0 4 1.4598074714 0.541086639219 0.312396516808
FST_C_M chr10 4 1 0.00113565210269 0.0 nan
FST_C_M chr10 5 36 -0.0621696000017 0.0443966868512 0.00750440975763
FST_C_M chr10 6 61 0.022678793452 0.26914204269 0.0347460883034
FST_C_M chr10 7 73 -0.341761003346 1.14062986788 0.134424519067
FST_C_M chr17 0 5 1.41638324356 0.17601673262 0.08800836631
FST_C_M chr17 4 100 -0.0120288330308 0.182823549508 0.0183744580776
FST_C_M chr17 5 9 0.0157256257541 0.029786922115 0.0105312673091
FST_C_M chr17 6 100 0.0697106904183 0.0644973363637 0.0064822262029
FST_C_M chr17 7 11 -0.306670278439 0.320757417983 0.101432401722
FST_C_M chr16 0 1 1.78476436225 0.0 nan
FST_C_M chr16 4 6 0.0495551924638 0.0730752106938 0.0326802277163
FST_C_M chr16 5 8 0.149618306012 0.118436909983 0.0447649442666
FST_C_M chr16 6 35 -0.0107443899445 0.0271620921009 0.00465826036482
FST_C_M chr15 0 2 1.59952564536 0.0458489821284 0.0458489821284
FST_C_M chr15 4 2 0.0336545022162 0.0494685567624 0.0494685567624
FST_C_M chr15 5 14 -0.0933727266095 0.0970219298426 0.0269090417609
FST_C_M chr15 6 38 0.0362591310467 0.0230706860924 0.00379279743004
FST_C_M chr14 5 31 -0.175731727311 0.0856019822355 0.0156287122125
FST_C_M chr14 6 6 0.032103944082 0.0343126950407 0.0153451037204
FST_C_M chr19 0 5 1.72837803165 0.129758809605 0.0648794048024
FST_C_M chr19 4 31 -0.0268551332945 0.0708494607357 0.0129352826107
FST_C_M chr19 5 40 -0.0677960233778 0.0277298829162 0.00444033495661
